12;19;29;46;35;45;27;34;5;9;23;36;16;13;20;8;17;7;6;31;42;10;15;28;3;4;18;39;24;48;44;38;11;26;2;43;21;32;14;30;33;1;22;37;40;41;47;25
46;20;44;32;36;18;42;34;13;11;9;39;14;41;1;38;16;40;29;12;6;37;4;26;3;47;23;5;35;24;7;25;30;33;28;21;22;45;48;8;15;27;43;2;17;31;19;10
31;21;36;15;35;42;23;47;27;24;16;32;3;6;48;1;18;43;9;12;4;41;20;39;33;25;14;8;26;5;7;11;13;19;22;45;34;29;17;40;2;38;30;28;46;44;10;37
44;8;3;43;20;18;7;16;2;22;5;21;37;29;19;31;13;9;30;10;35;23;15;6;24;46;26;39;25;33;32;11;34;17;47;28;4;1;36;12;27;45;41;40;48;42;14;38
41;3;36;4;22;43;18;10;9;16;6;21;42;5;23;29;13;15;26;11;38;28;34;35;44;39;31;7;19;27;33;40;20;24;46;1;32;48;25;37;45;47;17;2;12;30;8;14
14;28;20;15;35;22;42;37;3;41;40;43;8;34;18;44;23;4;7;31;1;13;38;27;21;12;9;2;25;30;24;19;45;16;36;17;48;10;29;33;46;6;5;47;26;39;32;11
33;2;40;30;15;29;18;3;21;12;36;27;5;31;10;11;44;20;14;26;47;25;38;48;8;46;23;22;6;17;9;32;13;35;42;37;24;41;45;16;34;7;43;1;28;39;19;4
32;38;3;17;46;33;45;48;22;23;1;5;44;28;42;34;31;6;35;15;24;8;4;40;43;41;18;37;29;7;2;47;39;36;20;12;19;14;21;30;13;27;11;25;26;9;10;16
7;31;12;10;25;24;21;20;32;48;34;27;45;42;47;13;29;23;28;2;40;26;8;39;9;22;38;37;14;15;19;41;16;18;11;43;3;46;6;35;1;44;4;5;36;33;30;17
23;29;33;27;24;34;6;30;15;17;19;41;32;7;14;13;2;21;1;8;42;12;16;48;47;28;20;9;3;37;22;5;18;38;46;26;44;4;40;31;43;10;35;11;45;36;25;39
13;28;4;8;18;46;20;32;17;45;7;24;9;1;11;40;2;33;34;39;29;5;22;38;23;3;25;35;42;16;30;10;47;14;15;48;26;41;19;27;36;21;31;44;43;37;6;12
22;33;44;9;18;3;1;27;39;42;45;8;31;5;13;11;24;48;36;46;41;29;14;4;43;37;34;20;19;26;25;7;21;35;40;2;47;12;32;16;6;28;17;23;38;15;30;10
28;18;46;20;41;38;27;16;35;11;7;30;40;31;39;29;25;5;36;48;47;2;21;44;37;3;13;17;15;12;33;4;19;23;6;10;22;8;1;14;42;43;45;34;24;26;32;9
42;17;16;3;25;21;2;10;12;5;20;19;22;31;11;23;47;38;29;18;26;46;40;8;33;14;13;41;15;44;24;28;27;9;30;43;4;34;7;1;48;37;39;35;6;36;45;32
24;47;25;3;29;5;15;10;43;22;16;1;42;33;37;38;2;39;23;40;20;11;21;32;12;41;34;48;26;30;7;4;13;44;18;45;28;36;6;14;8;46;9;35;27;31;17;19
41;13;10;40;38;5;7;37;8;29;34;11;32;18;2;14;27;36;33;19;17;46;42;47;44;20;12;45;31;9;16;26;22;25;1;43;21;24;23;48;15;4;28;3;6;30;35;39
47;18;45;30;20;22;14;1;8;19;24;36;44;31;26;21;25;35;17;15;41;12;40;28;32;33;6;39;23;34;2;37;29;42;46;7;38;13;5;16;43;9;11;48;3;4;27;10
41;43;25;47;12;38;32;16;20;21;9;40;4;18;26;31;6;39;36;24;15;28;14;37;23;19;27;10;29;34;33;7;42;35;46;1;30;8;17;11;22;13;48;5;45;2;3;44
37;2;11;27;10;17;29;30;22;20;1;16;8;42;6;19;21;39;4;26;35;12;24;13;48;7;9;43;41;32;23;33;18;44;3;15;28;34;31;14;5;47;38;46;25;40;36;45
12;16;48;3;34;30;47;1;15;5;42;40;44;29;14;23;24;20;7;11;17;6;41;18;22;33;35;2;10;31;39;26;45;27;28;19;9;38;13;21;46;4;43;25;37;32;8;36
25;43;12;29;32;30;46;2;21;33;35;19;22;42;44;16;1;7;39;4;40;36;26;17;24;28;48;31;34;8;38;9;13;14;37;11;45;3;27;23;15;10;47;6;5;20;18;41
