2;16;5;8;6;1;3;11;14;9;4;12;10;13;15;18;17;7
5;15;16;9;17;8;3;12;6;14;10;2;4;11;13;18;1;7
12;6;18;10;11;5;16;7;14;17;8;4;15;1;13;3;2;9
1;9;16;7;3;13;15;6;12;17;18;14;2;10;11;5;8;4
11;7;12;17;4;13;10;1;5;2;6;18;8;3;14;15;16;9
17;8;16;14;9;12;1;10;5;7;18;4;13;15;3;11;6;2
3;15;1;5;17;7;2;14;11;13;4;18;9;10;12;6;16;8
2;1;6;12;11;15;4;3;13;10;18;8;5;17;16;14;9;7
17;8;6;5;7;13;4;1;16;18;10;11;14;15;12;2;3;9
16;14;2;7;1;11;13;8;6;5;4;18;15;17;10;12;9;3
18;16;15;5;7;10;14;17;3;11;4;2;8;6;12;9;1;13
17;7;2;10;16;8;14;5;6;12;3;18;11;4;15;1;13;9
10;7;9;17;15;6;13;11;1;8;16;3;12;18;5;2;14;4
8;5;10;7;12;16;9;6;3;1;15;14;13;2;4;18;11;17
16;18;4;3;17;5;13;7;9;1;12;10;15;6;14;11;8;2
1;12;15;14;6;8;18;11;4;3;16;7;5;17;13;9;2;10
3;16;12;7;18;8;10;1;2;17;9;11;15;14;13;6;5;4
13;12;16;7;1;10;11;15;6;4;18;8;3;14;9;17;5;2
12;17;2;5;15;13;16;10;18;1;11;4;7;9;8;14;6;3
2;6;16;7;5;1;8;15;14;17;4;18;13;12;10;3;11;9
8;5;10;16;4;15;2;13;14;18;7;3;11;1;12;6;17;9
16;1;9;8;6;10;12;15;13;17;7;2;5;11;4;14;3;18
5;7;13;1;11;12;2;18;15;3;14;17;6;10;8;16;9;4
7;11;15;1;4;13;8;16;9;5;10;14;18;2;6;3;17;12
18;11;8;7;10;2;14;4;15;17;13;5;1;12;3;6;16;9
5;13;8;14;16;7;17;2;10;4;3;18;15;1;12;11;6;9
13;6;18;3;10;11;15;17;4;16;8;5;9;1;2;14;12;7
9;5;8;7;1;6;3;4;17;13;14;11;2;15;10;12;16;18
5;13;1;14;8;9;7;2;17;16;18;10;4;12;15;3;11;6
11;10;16;13;7;12;18;3;1;14;17;2;5;4;8;9;6;15
8;18;1;13;2;14;10;6;16;12;7;3;4;15;9;17;5;11
13;6;11;5;10;3;17;4;2;15;14;16;9;18;8;1;7;12
18;2;1;7;13;5;15;11;10;12;17;8;14;16;6;3;4;9
3;18;15;12;11;17;4;16;1;7;6;5;2;9;10;13;8;14
17;2;10;4;14;5;9;3;1;13;18;16;15;11;12;8;6;7
7;18;1;3;5;17;10;15;4;2;6;8;9;14;12;13;11;16
1;3;12;10;16;17;9;6;7;8;14;5;2;4;15;11;18;13
14;2;11;10;4;7;8;17;3;15;5;9;13;18;16;1;12;6
3;11;1;4;17;13;8;2;14;18;10;6;15;12;5;16;9;7
7;2;12;14;9;15;18;6;11;3;8;16;13;5;4;1;17;10
16;5;12;17;1;9;7;3;8;6;18;4;15;2;13;14;10;11
11;2;5;8;9;15;10;1;18;16;3;13;17;12;6;7;14;4
2;9;17;1;5;4;10;3;13;6;11;14;12;7;15;16;8;18
3;15;6;18;11;17;12;7;4;10;2;1;5;9;16;14;8;13
18;17;11;8;5;9;3;12;14;10;13;1;4;2;15;16;6;7
11;12;17;13;18;16;1;4;9;10;3;6;5;8;14;2;15;7
9;13;14;7;12;8;5;4;3;16;10;1;11;17;15;6;2;18
3;2;12;5;16;11;4;1;8;7;6;17;18;10;15;13;9;14
9;7;18;4;5;15;10;8;11;12;3;16;17;2;14;6;1;13
18;6;16;17;7;13;2;8;10;3;11;15;9;12;5;1;14;4
