85;20;57;78;35;82;34;74;36;89;77;32;44;87;18;86;55;7;46;80;6;30;24;16;65;60;11;45;28;26;48;50;59;51;19;73;43;69;79;61;72;29;8;39;31;22;70;12;58;52;49;38;33;54;17;71;5;41;23;25;62;81;63;76;4;84;56;37;75;2;3;53;83;13;66;10;64;1;21;9;27;68;67;90;47;42;15;14;88;40
32;14;81;24;41;22;3;80;45;17;31;72;79;74;21;60;70;18;84;52;23;54;39;56;15;83;50;88;40;37;35;85;36;7;53;33;51;58;19;87;49;63;44;16;47;38;57;4;73;67;86;26;90;76;42;11;78;69;28;20;1;82;65;12;64;68;13;48;59;75;27;8;46;30;2;71;5;43;61;55;9;77;6;66;29;89;62;25;34;10
3;36;41;29;69;57;22;70;26;11;17;6;40;35;72;15;78;48;68;76;31;25;43;8;5;28;89;52;20;34;18;45;2;19;62;85;58;56;44;77;80;83;55;71;75;63;79;32;50;9;33;53;73;30;84;64;24;14;4;54;81;59;37;23;66;87;67;88;38;27;21;39;60;90;46;16;12;13;51;47;61;49;7;82;65;10;86;42;1;74
18;10;16;25;65;17;84;21;79;3;38;32;11;87;80;40;58;51;1;52;55;46;33;7;71;27;2;31;60;82;75;69;26;34;63;9;78;72;81;29;41;89;59;73;39;50;68;12;56;64;62;70;67;15;42;76;13;36;37;61;77;19;28;44;53;57;23;88;74;43;45;6;48;20;47;66;5;22;54;14;86;8;49;90;85;24;30;35;83;4
46;27;72;84;89;33;31;86;49;71;82;78;19;68;52;40;42;65;64;88;17;50;14;66;56;48;75;90;4;29;28;83;63;43;7;81;79;13;80;24;47;39;21;9;32;18;38;74;54;26;59;15;36;30;34;58;51;55;77;8;5;44;60;69;25;57;45;1;67;87;23;16;35;41;10;37;11;22;6;76;70;61;85;3;73;62;2;12;20;53
57;55;41;40;72;24;26;37;76;9;83;18;86;73;69;20;74;25;52;38;88;36;33;11;66;79;61;32;6;65;17;31;70;5;44;45;4;46;28;21;8;22;81;77;10;84;56;64;87;90;67;15;7;82;42;43;2;13;39;48;85;23;49;59;34;60;27;19;29;50;54;35;68;71;3;51;53;16;62;75;14;58;89;12;30;1;80;47;78;63
49;69;40;80;7;57;32;33;55;78;59;84;26;53;21;71;19;60;13;39;77;68;90;23;86;37;51;47;42;36;72;24;34;17;22;12;30;65;8;48;25;50;88;41;46;64;10;89;82;79;58;31;43;45;56;73;35;66;85;28;27;44;29;20;2;76;4;3;83;18;75;16;6;74;1;61;62;15;81;52;9;11;5;14;87;38;54;67;70;63
4;25;86;79;10;84;12;39;71;54;48;21;32;24;51;14;49;55;17;3;67;59;38;76;8;58;69;35;46;70;15;90;11;72;52;31;73;47;33;78;30;80;66;89;7;45;9;23;57;28;85;64;26;43;6;75;1;42;44;81;65;82;62;53;63;74;5;83;16;13;68;34;19;29;18;20;60;87;41;40;2;56;50;88;36;77;27;37;22;61
37;43;66;13;1;29;7;14;48;19;46;45;59;31;4;8;53;34;16;2;80;23;58;73;86;67;20;77;72;85;27;81;62;52;83;84;21;60;63;42;51;89;28;12;32;49;17;40;71;11;69;25;38;26;36;65;33;18;15;87;74;10;88;64;24;55;41;57;56;82;68;70;90;9;35;5;50;44;75;3;22;6;30;54;76;61;47;39;78;79
23;85;22;57;41;88;42;2;59;10;27;60;25;37;81;24;66;55;16;12;36;74;89;87;84;14;73;69;20;70;53;61;47;30;3;40;83;56;50;86;6;8;64;26;68;43;44;49;71;34;78;62;79;75;21;13;54;11;33;65;1;32;51;90;31;67;76;46;63;58;4;52;45;28;5;72;29;7;35;80;82;48;9;19;15;38;77;39;18;17
